observation_id,project_id,project_code,serial_no,project_name,agency,state,sector,report_date,approval_date,approval_date_revised,original_cost_crore,revised_cost_crore,anticipated_cost_crore,cost_overrun_original_crore,cost_overrun_revised_crore,cumulative_expenditure_crore,original_completion_date,revised_completion_date,anticipated_completion_date,time_overrun_original_months,time_overrun_revised_months,additional_delay_months,milestones_achieved,milestones_total,physical_progress_pct,delay_reason,status,source.report,source.table,source.page,source.serial_no
FR_200510_001,,,1,NEW URANIUM ORE PROCESSING MILL,,,ATOMIC ENERGY,2005-10,2003-09,,343.26,,343.26,0.0,,116.89,2006-06,,2006-03,-3.0,,,13,31,,,,MonthlyFR_oct_2005.pdf,Sector-Wise analysis of projects,9,1
FR_200510_002,,,2,"TARAPUR ATOMIC POWER PROJECT, TARAPUR,MAHARASHTRA (NPCIL)",NPCIL,,ATOMIC ENERGY,2005-10,1991-01,1997-12,3447.06,6421.0,6525.0,3077.94,104.0,5210.0,2007-01,,2007-01,0.0,,,90,103,,,,MonthlyFR_oct_2005.pdf,Sector-Wise analysis of projects,9,2
FR_200510_003,,,3,"KAIGA ATOM IC POWER PROJECT 3 & 4 UNITS, KAIGA",,,ATOMIC ENERGY,2005-10,2001-05,,4213.0,,3282.0,-931.0,,1396.0,2009-10,,2007-09,-25.0,,,37,75,,,,MonthlyFR_oct_2005.pdf,Sector-Wise analysis of projects,9,3
FR_200510_004,,,4,"RAJASTHAN ATOMIC POWER PROJECT 5 & 6, RAWAT BHATA",,,ATOMIC ENERGY,2005-10,2002-04,,3072.0,,3072.0,0.0,,1003.0,2008-02,,2008-02,0.0,,,31,75,,,,MonthlyFR_oct_2005.pdf,Sector-Wise analysis of projects,9,4
FR_200510_005,,,5,KUDANKULAM APP (NPCIL),NPCIL,,ATOMIC ENERGY,2005-10,2001-12,,13171.0,,13171.0,0.0,,6225.0,2008-12,,2008-12,0.0,,,32,119,,,,MonthlyFR_oct_2005.pdf,Sector-Wise analysis of projects,9,5
FR_200510_006,,,6,PROTOTYPE FAST BREEDER REACTOR,,,ATOMIC ENERGY,2005-10,2003-09,,3492.0,,3492.0,0.0,,223.63,2010-09,,2010-09,0.0,,,5,76,,,,MonthlyFR_oct_2005.pdf,Sector-Wise analysis of projects,9,6
FR_200510_007,,,7,DEVELOPMENT OF VISAKHAPATNAM AIRPORT.,,,ATOMIC ENERGY,2005-10,2002-12,,191.52,,191.52,0.0,,90.33,2005-12,,2006-12,12.0,,,11,27,,,,MonthlyFR_oct_2005.pdf,Sector-Wise analysis of projects,9,7
FR_200510_008,,,8,POOTKI BALIHARI UG,,,COAL,2005-10,1983-12,1997-04,199.87,199.87,182.6,-17.27,-17.27,173.73,1994-03,2000-03,2007-03,156.0,84.0,,4,5,,,,MonthlyFR_oct_2005.pdf,Sector-Wise analysis of projects,9,8
FR_200510_009,,,9,BASUNDHRA(WEST)O.C.P (MCL) (2.40 MTY),,,COAL,2005-10,2003-10,,176.55,,176.55,0.0,,28.45,2008-03,,2008-03,0.0,,,0,2,,,,MonthlyFR_oct_2005.pdf,Sector-Wise analysis of projects,9,9
FR_200510_010,,,10,TPS-II EXPANSION (1470MW TO 1970MW) (NLC),NLC,,COAL,2005-10,2004-10,,2030.78,,2030.78,0.0,,9.11,2009-06,,2009-06,0.0,,,0,24,,,,MonthlyFR_oct_2005.pdf,Sector-Wise analysis of projects,9,10
FR_200510_011,,,11,EXPANSION OF MINE-II,,,COAL,2005-10,2004-10,,2161.28,,2161.28,0.0,,86.32,2009-06,,2009-06,0.0,,,1,23,,,,MonthlyFR_oct_2005.pdf,Sector-Wise analysis of projects,9,11
FR_200510_012,,,12,BARSINGSAR TPS OF 250 MW,,,COAL,2005-10,2004-12,,1114.18,,1114.18,0.0,,5.53,2009-06,,2009-06,0.0,,,0,26,,,,MonthlyFR_oct_2005.pdf,Sector-Wise analysis of projects,9,12
FR_200510_013,,,13,BARSINGSAR LIGNITE MINE,,,COAL,2005-10,2004-12,,254.07,,254.07,0.0,,35.39,2009-06,,2009-06,0.0,,,1,21,,,,MonthlyFR_oct_2005.pdf,Sector-Wise analysis of projects,9,13
FR_200510_014,,,14,KULDA OCP,,,COAL,2005-10,2005-01,,302.96,,,0.0,,21.96,2010-03,,,0.0,,,0,0,,,,MonthlyFR_oct_2005.pdf,Sector-Wise analysis of projects,9,14
FR_200510_015,,,15,"GEVRA EXPANSION OCP, 25MTY (SECL)",,,COAL,2005-10,2005-07,,1667.55,,1667.55,0.0,,,2010-03,,2010-03,0.0,,,0,4,,,,MonthlyFR_oct_2005.pdf,Sector-Wise analysis of projects,10,15
FR_200510_016,,,16,DIPKA EXPANSION OCP,,,COAL,2005-10,2005-07,,1268.53,,1268.53,0.0,,,2010-03,,2010-03,0.0,,,0,3,,,,MonthlyFR_oct_2005.pdf,Sector-Wise analysis of projects,10,16
FR_200510_017,,,17,BHUBANESHWARI OCP (MAHANADI COALFIELDS LTD.) (10 MTY),,,COAL,2005-10,2005-01,,336.68,,336.68,0.0,,10.9,2012-03,,2012-03,0.0,,,0,0,,,,MonthlyFR_oct_2005.pdf,Sector-Wise analysis of projects,10,17
FR_200510_018,,,18,NAMRUP PLANT REVAMP(BVFC),BVFC,,FERTILISERS,2005-10,1997-10,2001-09,350.0,509.4,610.24,260.24,100.84,525.47,2001-05,2002-02,2005-10,53.0,44.0,,60,91,,,,MonthlyFR_oct_2005.pdf,Sector-Wise analysis of projects,10,18
FR_200510_019,,,19,TECHNOLOGICAL UP_GRADATION OF TROMBAY-V AMMONIA PLANT,,,FERTILISERS,2005-10,2003-10,2006-06,249.0,,249.0,0.0,,30.08,2006-06,,2006-06,0.0,,,20,56,,,,MonthlyFR_oct_2005.pdf,Sector-Wise analysis of projects,10,19
