observation_id,project_id,project_code,serial_no,project_name,agency,state,sector,report_date,approval_date,approval_date_revised,original_cost_crore,revised_cost_crore,anticipated_cost_crore,cost_overrun_original_crore,cost_overrun_revised_crore,cumulative_expenditure_crore,original_completion_date,revised_completion_date,anticipated_completion_date,time_overrun_original_months,time_overrun_revised_months,additional_delay_months,milestones_achieved,milestones_total,physical_progress_pct,delay_reason,status,source.report,source.table,source.page,source.serial_no
FR_201111_001,,020100044,1,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE) - BHAVNI,Tamil Nadu","BHAVINI, 500 MWE",,ATOMIC ENERGY,2011-11,2003-09,,3492.0,,5677.0,,,3333.91,2010-09,,2012-01,,,,5,80,,,,FR_NOV_2011.pdf,Sector-Wise analysis of projects,39,1
FR_201111_002,,N02000007,2,"URANIUM ORE MINE AND PROCESSING PLANT AT TUMMALAPA - UCIL,Andhra Pradesh",,,ATOMIC ENERGY,2011-11,2007-09,,1106.29,,1106.29,,,1000.7,2011-04,,2012-04,,,,0,1,,,,FR_NOV_2011.pdf,Sector-Wise analysis of projects,39,2
FR_201111_003,,020100040,3,"KUDANKULAM APP (NPCIL) - NPCIL,Tamil Nadu",NPCIL,,ATOMIC ENERGY,2011-11,2001-12,,13171.0,,15824.0,,,14159.0,2008-12,,2013-02,,,,60,119,,,,FR_NOV_2011.pdf,Sector-Wise analysis of projects,39,3
FR_201111_004,,N02000010,4,"KAKRAPAR ATOMIC POWER PROJECT - 3&4 - NPCIL,Gujarat Total",,,ATOMIC ENERGY,2011-11,2009-10,,11459.0,29228.29,11459.0,,,1180.0,2015-12,2016-05,2016-11,,,,0,70,,,,FR_NOV_2011.pdf,Sector-Wise analysis of projects,39,4
FR_201111_005,,N04000038,5,"D/O KAMARAJ DOMESTIC TER-PH-II And EXP. ANNA INT. - AAI,Tamil Nadu",,,CIVIL AVIATION,2011-11,2008-08,,1808.0,2015.0,2015.0,,,1572.92,2011-01,,2011-12,,,,0,0,,,,FR_NOV_2011.pdf,Sector-Wise analysis of projects,39,5
FR_201111_006,,N04000037,6,"C/O INTEGRATED PASSENGER TER. BULD. NSCBI AIRPORT - AAI,West Bengal",,,CIVIL AVIATION,2011-11,2008-08,,1942.51,,2325.0,,,1625.49,2011-05,,2012-03,,,,0,0,,,,FR_NOV_2011.pdf,Sector-Wise analysis of projects,39,6
FR_201111_007,,N04000050,7,"C/o new Airport at Pakyong(Sikkim) Airport - AAI,Sikkim",Sikkim,,CIVIL AVIATION,2011-11,2009-01,,309.46,,309.46,,,153.41,2011-01,,2012-06,,,,0,0,,,,FR_NOV_2011.pdf,Sector-Wise analysis of projects,39,7
FR_201111_008,,N04000069,8,"Construction of New International Terminal Building - AAI,Goa",,,CIVIL AVIATION,2011-11,2010-05,,335.61,,335.61,,,57.03,2012-05,,2012-08,,,,0,0,,,,FR_NOV_2011.pdf,Sector-Wise analysis of projects,39,8
FR_201111_009,,N04000065,9,"GAGAN PROJECT - AAI,Multi State Total",,,CIVIL AVIATION,2011-11,2008-09,,626.0,5021.58,626.0,,,324.99,2013-06,,2013-06,,,,0,0,,,,FR_NOV_2011.pdf,Sector-Wise analysis of projects,39,9
FR_201111_010,,060100089,10,"BARSINGSAR TPS (2X125MW) (NLC) - NLC,Rajasthan",NLC,,COAL,2011-11,2004-12,,1114.18,1626.09,1626.09,,,1683.04,2009-06,,2011-12,,,,25,26,,,,FR_NOV_2011.pdf,Sector-Wise analysis of projects,39,10
FR_201111_011,,060100092,11,"KULDA OCP (MAHANADI COALFIELDS LTD.) - MCL,Orissa",MAHANADI COALFIELDS LTD.,,COAL,2011-11,2005-01,,302.96,,302.96,,,87.24,2010-03,,2012-03,,,,9,11,,,,FR_NOV_2011.pdf,Sector-Wise analysis of projects,39,11
FR_201111_012,,N06000017,12,"SHANTIKHANI LONGWALL PROJ- SCCL - SCCL,Andhra Pradesh",,,COAL,2011-11,2006-10,,249.03,19.0,249.03,,,41.03,2012-03,2012-03,2012-03,,,,11,42,,,,FR_NOV_2011.pdf,Sector-Wise analysis of projects,39,12
FR_201111_013,,N06000033,13,"NIGAHI OC EXPANSION PROJECT 10 MTY TO 15 MTY, SINGRAULI - NCL,Madhya pradesh",,,COAL,2011-11,2007-10,,259.4,,259.4,,,1.51,2012-03,,2012-03,,,,0,1,,,,FR_NOV_2011.pdf,Sector-Wise analysis of projects,40,13
FR_201111_014,,N06000044,14,"BALRAM OCP EXTENSION, MCL (8.00 Mty) - MCL,Orissa",8.00 Mty,,COAL,2011-11,2007-12,,172.08,,172.08,,,96.49,,,2012-03,,,,4,4,,,,FR_NOV_2011.pdf,Sector-Wise analysis of projects,40,14
FR_201111_015,,N06000067,15,"ANANTA OC EXPANSION PH-III (15.0 Mty) - MCL,Orissa",15.0 Mty,,COAL,2011-11,2008-08,,207.28,,207.28,,,68.11,,,2012-03,,,,5,7,,,,FR_NOV_2011.pdf,Sector-Wise analysis of projects,40,15
FR_201111_016,,N06000078,16,"RAMAGUNDAM OC-II EXTENSION - SCCL,Andhra Pradesh",,,COAL,2011-11,2009-12,,418.97,,418.97,,,78.59,2012-03,,2012-03,,,,21,27,,,,FR_NOV_2011.pdf,Sector-Wise analysis of projects,40,16
FR_201111_017,,N06000080,17,"MANUGURU OC-II EXTENSION PHASE-II - SCCL,Andhra Pradesh",,,COAL,2011-11,2010-03,,181.19,,181.19,,,21.2,2012-03,2012-03,2012-03,,,,8,34,,,,FR_NOV_2011.pdf,Sector-Wise analysis of projects,40,17
FR_201111_018,,060100087,18,"TPS-II EXPANSION (1470MW TO 1970MW) (NLC) - NLC,Tamil Nadu",NLC,,COAL,2011-11,2004-10,,2030.78,2453.57,2453.57,,,2304.1,2009-06,,2012-07,,,,19,24,,,,FR_NOV_2011.pdf,Sector-Wise analysis of projects,40,18
FR_201111_019,,N06000047,19,"TUTICORIN THERMAL POWER PROJECT - NLC,Tamil Nadu",,,COAL,2011-11,2008-05,,4904.54,4909.54,4909.54,,,2291.14,,,2013-02,,,,0,37,,,,FR_NOV_2011.pdf,Sector-Wise analysis of projects,40,19
FR_201111_020,,060100096,20,"ASHOK EXPN.OCP -CCL (10 MTY) - CCL,Jharkhandd",10 MTY,,COAL,2011-11,2006-04,,471.66,341.63,341.63,,,110.02,2011-03,2012-03,2013-03,,,,0,2,,,,FR_NOV_2011.pdf,Sector-Wise analysis of projects,40,20
FR_201111_021,,N06000007,21,"KRISHNASHILA (NCL) (4MTY) - NCL,Madhya pradesh",4MTY,,COAL,2011-11,2006-05,,789.88,,741.62,,,288.78,2010-03,,2013-03,,,,2,2,,,,FR_NOV_2011.pdf,Sector-Wise analysis of projects,40,21
FR_201111_022,,N06000008,22,"KUSMUNDA EXPN.OCP(SECL)(10- 15MTY) - SECL,Chhatisgarh",10- 15MTY,,COAL,2011-11,2006-06,,737.65,,1188.31,,,569.86,,,2013-03,,,,0,8,,,,FR_NOV_2011.pdf,Sector-Wise analysis of projects,40,22
FR_201111_023,,N06000025,23,"JALLARAM SHAFT PROJECT - SCCL,Andhra Pradesh",,,COAL,2011-11,2013-03,,467.78,,467.78,,,12.31,2013-03,2013-03,2013-03,,,,3,83,,,,FR_NOV_2011.pdf,Sector-Wise analysis of projects,40,23
FR_201111_024,,N06000035,24,"KANIHA OCP, MCL, (10.0 Mty) - MCL,Orissa",10.0 Mty,,COAL,2011-11,2007-12,,457.77,,457.77,,,113.54,,,2013-03,,,,6,11,,,,FR_NOV_2011.pdf,Sector-Wise analysis of projects,40,24
FR_201111_025,,N06000068,25,"HINGULA OC-II EXP. PH-III (15 MTY) - MCL,Orissa",15 MTY,,COAL,2011-11,2008-11,,475.93,,479.63,,,81.7,,,2013-03,,,,5,7,,,,FR_NOV_2011.pdf,Sector-Wise analysis of projects,40,25
FR_201111_026,,N06000085,26,"Purnadih OCP - CCL,Jharkhandd",,,COAL,2011-11,2008-07,,210.98,,210.98,,,24.25,2013-03,,2013-03,,,,0,2,,,,FR_NOV_2011.pdf,Sector-Wise analysis of projects,40,26
FR_201111_027,,N06000019,27,"BINA EXTN. PROJ(6.0 Mtpa) - NCL,Multi State",6.0 Mtpa,,COAL,2011-11,2006-11,,168.97,,168.97,,,37.71,2014-03,,2013-11,,,,1,2,,,,FR_NOV_2011.pdf,Sector-Wise analysis of projects,40,27
FR_201111_028,,N06000016,28,"ADRIYALA SHAFT PROJECT - SCCL,Andhra Pradesh",,,COAL,2011-11,2006-09,,212.34,779.26,779.26,,,212.4,2013-03,2012-09,2013-12,,,,5,22,,,,FR_NOV_2011.pdf,Sector-Wise analysis of projects,40,28
FR_201111_029,,060100093,29,"GEVRA EXPANSION OCP (SECL) (25 MTY) - SECL,Chhatisgarh",25 MTY,,COAL,2011-11,2005-07,,1667.55,,2675.67,,,1279.57,2010-03,,2014-03,,,,0,15,,,,FR_NOV_2011.pdf,Sector-Wise analysis of projects,40,29
